county,dti_avg,ltv_avg,income_estimate,pct_nonwhite_estimate,pct_first_time_buyer
13087,32.704,72.265,55969,51.422,12.963
13089,33.613,74.424,84720,67.11,29.831
13091,31.355,75.126,55969,37.387,16.129
13093,29.167,82.513,63509,59.519,16.667
13095,32.96,74.661,57200,62.263,15.436
13097,35.629,71.987,84791,62.088,18.065
13099,32.889,80.723,55969,51.743,0.0
13101,36.0,81.34,59281,37.035,50.0
13103,33.333,74.638,75128,25.344,21.315
13105,33.418,67.977,55969,34.606,10.909
13107,33.714,75.768,55969,35.638,21.429
13109,34.5,53.782,55969,44.03,8.333
13111,33.226,69.478,55969,7.637,2.821
13113,34.041,72.899,84753,43.292,19.591
13115,33.467,74.434,62226,27.289,19.7
13117,32.552,74.235,84791,34.364,28.317
13119,32.07,70.238,57403,16.03,15.789
13121,32.724,73.503,84623,59.086,27.67
13123,34.543,71.018,67552,14.729,9.358
13125,22.25,65.805,67793,10.78,0.0
13127,32.813,69.678,68902,24.136,13.31
13129,33.855,73.154,56784,22.625,16.088
13131,32.574,70.895,58000,42.023,13.235
13133,30.429,66.591,77952,26.34,11.111
13135,35.732,73.169,84780,62.927,26.318
13137,33.69,70.639,66551,18.986,18.008
13139,34.541,72.247,74300,31.417,20.683
13141,37.278,62.721,55969,56.602,0.0
13143,35.069,71.979,84502,10.452,15.029
13145,31.772,73.778,62459,25.62,13.08
13147,31.512,66.777,62817,22.741,12.403
13149,32.339,68.662,84791,15.278,16.071
13151,36.173,72.462,84784,61.078,17.583
13153,32.715,77.354,77307,42.957,23.781
13155,32.312,72.633,58538,23.962,18.75
13157,34.555,71.794,77765,22.224,17.49
13159,32.653,67.556,83987,24.323,6.452
13161,31.917,66.97,55969,31.874,8.333
13163,31.033,74.285,55969,53.985,13.333
13165,29.867,71.534,55969,45.887,26.667
13167,36.923,74.474,55969,35.658,15.385
13169,32.897,74.073,62540,25.817,22.43
13171,30.85,71.21,84791,27.983,14.019
13173,35.85,71.623,64925,31.97,20.0
13175,33.228,73.852,55969,36.879,10.526
13177,33.482,74.013,56166,31.032,18.902
