county,dti_avg_2018,ltv_avg_2018,income_estimate_2018,pct_nonwhite_estimate_2018,pct_first_time_buyer_2018,dti_avg_2019,ltv_avg_2019,income_estimate_2019,pct_nonwhite_estimate_2019,pct_first_time_buyer_2019,dti_avg_2020,ltv_avg_2020,income_estimate_2020,pct_nonwhite_estimate_2020,pct_first_time_buyer_2020,dti_avg_2021,ltv_avg_2021,income_estimate_2021,pct_nonwhite_estimate_2021,pct_first_time_buyer_2021,dti_avg_2022,ltv_avg_2022,income_estimate_2022,pct_nonwhite_estimate_2022,pct_first_time_buyer_2022
37123,31.136,75.593,49289,22.842,10.0,28.782,71.412,51309,17.59,8.974,28.49,71.048,53799,18.715,4.422,29.088,68.21,56028,19.426,6.553,31.438,69.676,57962,23.041,12.346
37125,31.655,75.173,66449,21.025,17.059,31.698,75.299,69991,21.405,15.228,30.187,71.701,75306,21.356,9.683,29.876,69.249,76561,20.808,8.352,32.124,69.531,82755,22.404,12.358
37127,32.053,80.891,49776,39.979,27.256,32.108,80.62,52184,41.887,23.427,29.545,76.788,55555,39.074,13.161,29.602,74.14,57605,40.376,14.533,32.05,73.823,57013,47.65,22.432
37129,33.557,77.497,65444,17.818,22.182,32.571,77.028,69006,17.859,19.147,30.191,72.955,71318,16.638,11.423,30.589,70.129,75866,17.872,12.199,33.319,71.567,78735,22.778,19.362
37131,32.178,75.753,49289,47.662,14.851,32.044,74.601,51309,42.987,4.444,29.032,72.006,53799,41.41,4.301,33.036,67.725,55814,44.741,3.55,33.791,69.777,57962,49.384,13.433
37133,34.468,77.064,51654,21.376,16.801,33.38,78.434,53611,21.712,19.316,32.096,77.084,55650,20.194,11.509,31.981,74.091,56793,21.583,12.15,33.927,74.354,57756,29.62,17.086
37135,30.871,74.965,72733,27.686,26.087,29.56,74.001,76978,27.962,21.571,26.879,69.412,80199,27.314,11.265,26.988,66.54,82520,27.331,10.94,30.767,69.415,84764,32.344,22.625
37137,30.06,74.989,54896,19.544,9.483,32.452,74.695,56672,19.771,9.565,30.088,74.377,59618,18.798,6.25,30.04,70.89,63021,19.35,9.058,33.61,70.364,65462,21.027,11.029
37139,35.761,78.772,55204,39.95,18.333,31.284,78.803,62381,41.0,22.523,31.785,76.745,61687,38.757,13.314,30.767,73.128,66242,38.64,14.367,34.161,77.193,72184,43.742,25.574
37141,34.052,77.871,65444,15.061,14.113,32.809,77.284,69006,14.378,16.005,31.021,73.831,71318,13.824,8.735,31.16,71.434,75866,13.779,8.816,33.809,71.663,78711,18.527,15.554
